representation,k,seed_a,seed_b,ari_between_runs
robust_final_precluster_matrix,8,7,512,0.9988713704442124
robust_final_precluster_matrix,8,7,1024,0.9987467294606251
robust_final_precluster_matrix,8,7,2026,0.9138470827723904
robust_final_precluster_matrix,8,21,42,0.6947550425209508
robust_final_precluster_matrix,8,21,84,0.9983724496975124
robust_final_precluster_matrix,8,21,123,0.609260557299126
robust_final_precluster_matrix,8,21,168,0.9995322921729607
robust_final_precluster_matrix,8,21,256,0.9992636959014929
robust_final_precluster_matrix,8,21,512,0.9142820666988525
robust_final_precluster_matrix,8,21,1024,0.9142309644174859
robust_final_precluster_matrix,8,21,2026,0.9989686077725725
robust_final_precluster_matrix,8,42,84,0.6943253283344882
robust_final_precluster_matrix,8,42,123,0.5846436465793419
robust_final_precluster_matrix,8,42,168,0.6945453460722208
robust_final_precluster_matrix,8,42,256,0.6943931940591261
robust_final_precluster_matrix,8,42,512,0.6704868931474568
robust_final_precluster_matrix,8,42,1024,0.6701726933764324
robust_final_precluster_matrix,8,42,2026,0.6943458960404297
robust_final_precluster_matrix,8,84,123,0.6089539175215495
robust_final_precluster_matrix,8,84,168,0.9983883041961215
